rstar,population,ancestor_id,treatment,note
1.4027421024141296,1,anc2,N,NA
2.2241305324263663,10,anc2,L,NA
1.2304477892335932,11,anc4,N,NA
0.9846471288215781,14,anc2,S,NA
1.0637723617195103,15,anc4,S,NA
1.2064144412788413,16,anc5,B,NA
1.538573990461799,17,anc2,P,NA
1.5738200364533734,18,anc5,S,NA
1.381239208058495,19,anc2,B,NA
1.527118292576644,2,anc3,BS,NA
1.8106884689046487,20,anc4,L,NA
0.8394108173112117,21,anc4,B,NA
2.062270244711559,22,cc1690,C,NA
1.0734337350354906,23,anc5,L,NA
1.6793313403390584,24,anc4,C,NA
0.8037197970654725,25,anc2,BS,NA
1.995814859941941,26,anc3,L,NA
1.8160519552509502,27,anc3,N,NA
1.6616037288033374,28,anc5,P,NA
1.9499278383110894,29,anc3,P,NA
1.0623683292400865,3,cc1690,N,NA
1.6095846261001532,30,anc5,N,NA
1.9189653998994205,31,cc1690,B,NA
1.3170045360352904,32,cc1690,S,NA
1.57846375807058,33,cc1690,L,NA
0.8505247179861203,35,anc4,BS,NA
1.6214934158313428,4,anc3,S,NA
2.2409528084087404,5,anc5,C,NA
1.327901142359807,6,cc1690,P,NA
2.2931897692416348,7,anc3,B,NA
0.7845929161577545,8,anc4,P,NA
1.5133757262895493,9,cc1690,BS,NA
1.8088355362729793,anc2,anc2,none,NA
2.1056395667553502,anc3,anc3,none,NA
1.8861796378364561,anc4,anc4,none,NA
1.1825302407657823,anc5,anc5,none,NA
1.399522559103676,cc1690,cc1690,none,NA
