comp1,comp2,ancestor_id,combination
1,10,anc2,1
1,14,anc2,2
1,17,anc2,3
1,19,anc2,4
1,25,anc2,5
1,anc2,anc2,6
10,14,anc2,7
10,17,anc2,8
10,19,anc2,9
10,25,anc2,10
10,anc2,anc2,11
14,17,anc2,12
14,19,anc2,13
14,25,anc2,14
14,anc2,anc2,15
17,19,anc2,16
17,25,anc2,17
17,anc2,anc2,18
19,25,anc2,19
19,anc2,anc2,20
25,anc2,anc2,21
2,4,anc3,22
2,7,anc3,23
2,26,anc3,24
2,27,anc3,25
2,29,anc3,26
2,anc3,anc3,27
4,7,anc3,28
4,26,anc3,29
4,27,anc3,30
4,29,anc3,31
4,anc3,anc3,32
7,26,anc3,33
7,27,anc3,34
7,29,anc3,35
7,anc3,anc3,36
26,27,anc3,37
26,29,anc3,38
26,anc3,anc3,39
27,29,anc3,40
27,anc3,anc3,41
29,anc3,anc3,42
8,11,anc4,43
8,15,anc4,44
8,20,anc4,45
8,21,anc4,46
8,24,anc4,47
8,35,anc4,48
8,anc4,anc4,49
11,15,anc4,50
11,20,anc4,51
11,21,anc4,52
11,24,anc4,53
11,35,anc4,54
11,anc4,anc4,55
15,20,anc4,56
15,21,anc4,57
15,24,anc4,58
15,35,anc4,59
15,anc4,anc4,60
20,21,anc4,61
20,24,anc4,62
20,35,anc4,63
20,anc4,anc4,64
21,24,anc4,65
21,35,anc4,66
21,anc4,anc4,67
24,35,anc4,68
24,anc4,anc4,69
35,anc4,anc4,70
5,16,anc5,71
5,18,anc5,72
5,23,anc5,73
5,28,anc5,74
5,30,anc5,75
5,anc5,anc5,76
16,18,anc5,77
16,23,anc5,78
16,28,anc5,79
16,30,anc5,80
16,anc5,anc5,81
18,23,anc5,82
18,28,anc5,83
18,30,anc5,84
18,anc5,anc5,85
23,28,anc5,86
23,30,anc5,87
23,anc5,anc5,88
28,30,anc5,89
28,anc5,anc5,90
30,anc5,anc5,91
3,6,cc1690,92
3,9,cc1690,93
3,22,cc1690,94
3,31,cc1690,95
3,32,cc1690,96
3,33,cc1690,97
3,cc1690,cc1690,98
6,9,cc1690,99
6,22,cc1690,100
6,31,cc1690,101
6,32,cc1690,102
6,33,cc1690,103
6,cc1690,cc1690,104
9,22,cc1690,105
9,31,cc1690,106
9,32,cc1690,107
9,33,cc1690,108
9,cc1690,cc1690,109
22,31,cc1690,110
22,32,cc1690,111
22,33,cc1690,112
22,cc1690,cc1690,113
31,32,cc1690,114
31,33,cc1690,115
31,cc1690,cc1690,116
32,33,cc1690,117
32,cc1690,cc1690,118
33,cc1690,cc1690,119
