treatment,ancestor_id,population,change_rstar_lower,change_rstar_upper,change_rstar_mean
B,anc2,19,0.48921145569455815,1.2124556490544676,0.8267840192564271
B,anc3,7,0.38251535834224715,1.3549050326523844,0.8374230464195864
B,anc4,21,-1.1232681141021312,-0.4765594643853602,-0.8166376781990664
B,anc5,16,-0.47366039779961017,0.3067115679928091,-0.10375938622573423
B,cc1690,31,0.11111628719133705,1.033084112866943,0.5476593148438441
BS,anc2,25,-0.2548939604039668,0.21139545510746338,-0.033560882935626514
BS,anc3,2,0.22896209253599925,0.8284961106434924,0.5216196115760272
BS,anc4,35,-0.9404477396798205,-0.47505448488777435,-0.707886268959875
BS,cc1690,9,0.03786294566653746,0.6658115844193072,0.3403019830875076
C,anc4,24,0.152962688354587,1.4343296302752488,0.8235506774658164
C,anc5,5,0.42220558548910525,1.4259086176242413,0.9252324230058939
C,cc1690,22,-0.22960954785098697,0.3080965019528269,0.0306297017177108
L,anc2,10,0.1252747489536847,0.9573720665552398,0.5337291031737355
L,anc3,26,-0.18448275562481123,0.38963332732639944,0.09832688673327644
L,anc4,20,-0.7525870091614815,0.03246987624439112,-0.3776667394222074
L,anc5,23,-0.7069689311981946,-0.24779950231438452,-0.48452046251305103
L,cc1690,33,-0.4949017479111861,0.24184767012509856,-0.1252233102773417
N,anc2,1,0.2572893906253317,0.8696990962147101,0.5744674627384577
N,anc3,27,-0.3423988813306645,0.4463007279068788,0.03264759351586284
N,anc4,11,-0.9036488542888595,-0.4040975028855708,-0.6543001878156643
N,anc5,30,-0.3231654615287831,0.2845906725262575,-0.00833778688632537
N,cc1690,3,-0.48424268208780274,0.007638781513296642,-0.2236032429671241
Ancestors,anc2,anc2,-0.2626268294247776,0.2924598726534988,8.211637640371756e-17
Ancestors,anc3,anc3,-0.29875119969818437,0.30844799482737123,-1.0252287371995287e-16
Ancestors,anc4,anc4,-0.35726969070522674,0.3695061295324523,-4.2668700528044833e-17
Ancestors,anc5,anc5,-0.3236690164544365,0.3107838696857384,-1.0636841347505732e-17
Ancestors,cc1690,cc1690,-0.28949312358857254,0.31970326889222545,1.0562215625150559e-16
P,anc2,17,-1.041051562488858,-0.7170418949022608,-0.8717573466884344
P,anc3,29,-0.626538212184648,-0.11043729767978518,-0.37643711209357616
P,anc4,8,-0.3950547857249554,0.19547313066991073,-0.11057220048875084
P,anc5,28,-0.7036840118866016,-0.10956862566246366,-0.42128411507322844
P,cc1690,6,-0.35115727380474987,0.3754837025531138,-0.00742997906966797
S,anc2,14,-0.024794833269262437,0.6161188948415405,0.2849271255746944
S,anc3,4,-0.03933552848128867,0.5741972681169246,0.250469763028749
S,anc4,15,-0.9622356399457694,-0.47668643433949365,-0.7197894111523736
S,anc5,18,-0.4612171699840782,0.021820194671510026,-0.22360500024515034
S,cc1690,32,-0.7106108859152785,-0.22781189433506358,-0.46721475818005
