combination,a11,a12,a21,a22,r1,r2,pop1,pop2,D,nitrogen_supply,phosphorus_supply,zone,n_supply,p_supply,rho,fit_ratio,coexist,stabil_potential,supply_ratio,nsupply,psupply,both_supplies,treatment,competitor,population
10,0.06523705184850467,0.07826418506716297,0.05387730762982387,0.06463602287014843,1.877102968917733,1.83141665194147,cc1690,6,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.854208696809053,FALSE,0,2000,high,low,highlow,P,comp1,6
10,0.06523705184850467,0.07826418506716297,0.05387730762982387,0.06463602287014843,1.877102968917733,1.83141665194147,cc1690,6,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.854208696809053,FALSE,0,2000,high,low,highlow,P,comp2,cc1690
2,0.07528583939524071,0.23020224136102715,0.06294449127534398,0.19246598150873248,1.8921135721850169,1.676386760246589,anc2,17,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.9893933123429233,FALSE,0,2000,high,low,highlow,P,comp1,17
2,0.07528583939524071,0.23020224136102715,0.06294449127534398,0.19246598150873248,1.8921135721850169,1.676386760246589,anc2,17,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.9893933123429233,FALSE,0,2000,high,low,highlow,P,comp2,anc2
4,0.07275428419766236,0.07863966801716435,0.060411480807863814,0.0652984061014011,1.8552020572877772,1.6666610164968418,anc3,29,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.9645400716149136,FALSE,0,2000,high,low,highlow,P,comp1,29
4,0.07275428419766236,0.07863966801716435,0.060411480807863814,0.0652984061014011,1.8552020572877772,1.6666610164968418,anc3,29,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.9645400716149136,FALSE,0,2000,high,low,highlow,P,comp2,anc3
5,0.07597550135931763,0.062359091936277526,0.06898190907934941,0.05661889863516554,1.848961969573244,1.7807064802859316,anc4,8,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.9563387067120175,FALSE,0,2000,high,low,highlow,P,comp1,8
5,0.07597550135931763,0.062359091936277526,0.06898190907934941,0.05661889863516554,1.848961969573244,1.7807064802859316,anc4,8,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.9563387067120175,FALSE,0,2000,high,low,highlow,P,comp2,anc4
7,0.08502318673870767,0.08412163582669292,0.07268074262970277,0.07191006592000604,1.8352580258491336,1.8979503972555545,anc5,28,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.8164985404242973,FALSE,0,2000,high,low,highlow,P,comp1,28
7,0.08502318673870767,0.08412163582669292,0.07268074262970277,0.07191006592000604,1.8352580258491336,1.8979503972555545,anc5,28,0.5,1000,0.5,zone_bottom,1000,0.5,1,0.8164985404242973,FALSE,0,2000,high,low,highlow,P,comp2,anc5
8,0.0414601641011997,0.04441061765204292,0.041517784545509466,0.04447233857323695,1.8459651209071022,1.8352580258491336,30,anc5,0.5,10,50,zone_top,10,50,1,0.990668233301994,FALSE,0,0.2,low,high,lowhigh,N,comp1,30
8,0.0414601641011997,0.04441061765204292,0.041517784545509466,0.04447233857323695,1.8459651209071022,1.8352580258491336,30,anc5,0.5,10,50,zone_top,10,50,1,0.990668233301994,FALSE,0,0.2,low,high,lowhigh,N,comp2,anc5
9,0.043124603877219524,0.046592500450874125,0.044250380859999286,0.04780880761341847,1.8118389738955984,1.877102968917733,3,cc1690,0.5,10,50,zone_top,10,50,1,1.0230432425634195,FALSE,0,0.2,low,high,lowhigh,N,comp1,3
9,0.043124603877219524,0.046592500450874125,0.044250380859999286,0.04780880761341847,1.8118389738955984,1.877102968917733,3,cc1690,0.5,10,50,zone_top,10,50,1,1.0230432425634195,FALSE,0,0.2,low,high,lowhigh,N,comp2,cc1690
1,0.04180622932792534,0.041655359566940185,0.03904650769982902,0.038905597185327226,1.850494694353969,1.8921135721850169,1,anc2,0.5,10,50,zone_top,10,50,1,1.103673428784437,FALSE,0,0.2,low,high,lowhigh,N,comp1,1
1,0.04180622932792534,0.041655359566940185,0.03904650769982902,0.038905597185327226,1.850494694353969,1.8921135721850169,1,anc2,0.5,10,50,zone_top,10,50,1,1.103673428784437,FALSE,0,0.2,low,high,lowhigh,N,comp2,anc2
3,0.044151962878633585,0.04248969032975413,0.04400923328416798,0.042352334346591955,2.032045711825582,1.8552020572877772,27,anc3,0.5,10,50,zone_top,10,50,0.9999999999999999,0.8874390644250931,FALSE,1.1102230246251565e-16,0.2,low,high,lowhigh,N,comp1,27
3,0.044151962878633585,0.04248969032975413,0.04400923328416798,0.042352334346591955,2.032045711825582,1.8552020572877772,27,anc3,0.5,10,50,zone_top,10,50,0.9999999999999999,0.8874390644250931,FALSE,1.1102230246251565e-16,0.2,low,high,lowhigh,N,comp2,anc3
6,0.03564529599416972,0.040425765661209666,0.038502264112370704,0.0436658881072915,1.9279131286036395,1.848961969573244,11,anc4,0.5,10,50,zone_top,10,50,1,0.8746088670109358,FALSE,0,0.2,low,high,lowhigh,N,comp1,11
6,0.03564529599416972,0.040425765661209666,0.038502264112370704,0.0436658881072915,1.9279131286036395,1.848961969573244,11,anc4,0.5,10,50,zone_top,10,50,1,0.8746088670109358,FALSE,0,0.2,low,high,lowhigh,N,comp2,anc4
