Treatment,n,Strain,mu,mu_per_gen
B,704,CC1690,704,2.2233659239695183e-8
BS,587,CC1690,587,1.8538576667189025e-8
C,621,CC1690,621,1.9612361346378847e-8
L,593,CC1690,593,1.8728068081163695e-8
N,553,CC1690,553,1.74647919879992e-8
P,570,CC1690,570,1.800168432759411e-8
S,599,CC1690,599,1.8917559495138373e-8
B,484,Anc2,484,1.5285640727290437e-8
BS,473,Anc2,473,1.49382398016702e-8
L,473,Anc2,473,1.49382398016702e-8
N,476,Anc2,476,1.503298550865754e-8
P,475,Anc2,475,1.5001403606328427e-8
S,436,Anc2,436,1.376970941549304e-8
B,450,Anc3,450,1.4211856048100614e-8
BS,415,Anc3,415,1.3106489466581679e-8
L,396,Anc3,396,1.2506433322328542e-8
N,419,Anc3,419,1.3232817075898127e-8
P,487,Anc3,487,1.5380386434277776e-8
S,433,Anc3,433,1.3674963708505703e-8
B,530,Anc4,530,1.673840823442961e-8
BS,500,Anc4,500,1.5790951164556237e-8
C,468,Anc4,468,1.4780330290024639e-8
L,492,Anc4,492,1.5538295945923337e-8
N,513,Anc4,513,1.6201515894834702e-8
P,530,Anc4,530,1.673840823442961e-8
S,508,Anc4,508,1.6043606383189137e-8
B,563,Anc5,563,1.7780611011290324e-8
C,582,Anc5,582,1.8380667155543463e-8
L,533,Anc5,533,1.683315394141695e-8
N,537,Anc5,537,1.6959481550733402e-8
P,563,Anc5,563,1.7780611011290324e-8
S,569,Anc5,569,1.7970102425265e-8
