ancestor_id,treatment,population,ks,umax,rstar
anc2,B,19,0.49166385194076856,1.3835087588302062,0.038306232704549095
anc2,BS,25,1.4670948390298926,1.6299140735797832,0.09589393707563573
anc2,L,10,0.9881660919022442,1.3340259503513898,0.08007660548960606
anc2,N,1,0.410814325856036,1.2947006986440819,0.03438638031452457
anc2,none,anc2,1.3103935547715044,1.4947602686321089,0.09395116739715093
anc2,P,17,0.1848766423260273,1.3893881928505245,0.014338322884538743
anc2,S,14,0.34850764020255204,1.3705553427377484,0.027429552139901277
anc3,B,7,0.5197989033415041,1.3010213161885051,0.043279740029186935
anc3,BS,2,0.5076858097355613,1.3912236514526286,0.03931819318554257
anc3,L,26,1.071475187442759,1.3785770901588252,0.08380215754606242
anc3,N,27,1.2809201140570075,1.389850033021045,0.09930767773497497
anc3,none,anc3,1.519344139040035,1.3891129534004534,0.11785965962348549
anc3,P,29,0.5188822436723838,1.404257709272569,0.03978372065454633
anc3,S,4,0.8981284524525547,1.4515901568852247,0.06644976273889976
anc4,B,21,0.4124321797575241,1.3897007859503234,0.03197890427380186
anc4,BS,35,0.12114010027430112,1.3225583870171511,0.009908737411704631
anc4,C,24,0.5340106815481412,1.4189401935585664,0.040487861705643675
anc4,L,20,1.898390852762111,1.3626020437021413,0.150355439564769
anc4,N,11,1.4688421428101126,1.6105303027872626,0.09724016394108571
anc4,none,anc4,1.196983117222797,1.3665547167352332,0.094507019823686
anc4,P,8,0.7282505432219355,1.4638435064626187,0.053396928589760896
anc4,S,15,0.6354543865415685,1.2817440124455346,0.05377259202071531
anc5,B,16,1.694340810897649,1.499164182314551,0.12109663985929126
anc5,C,5,1.3637716863379536,1.44310091416195,0.10153903343807205
anc5,L,23,0.8081475697098656,1.3965107836078072,0.06233249888296565
anc5,N,30,0.48233347574874263,1.3255651345027386,0.03935600501106332
anc5,none,anc5,1.9237595342234324,1.678129644153919,0.12190123551318344
anc5,P,28,0.8067951034269079,1.498414934416791,0.05769354170716018
anc5,S,18,0.6024541051540878,1.3038619144134498,0.05004345581009745
cc1690,B,31,0.9793920918285738,1.3969357338679276,0.07551585373530231
cc1690,BS,9,1.4589126743261078,1.3560830738408194,0.11614778550156571
cc1690,C,22,2.19956340697301,1.5267221986756632,0.15416900424025973
cc1690,L,33,1.524088638928291,1.5734106406214792,0.10343950266881718
cc1690,N,3,1.018560050197312,1.5237383882990532,0.0715412366884474
cc1690,none,cc1690,1.7736385278518463,1.572063315123126,0.12048656532844146
cc1690,P,6,0.5447002453888133,1.445996635090064,0.040468172890518864
cc1690,S,32,1.0962361378779293,1.4711310009010672,0.07995123275292551
