population,ks,umax,rstar_solve,ancestor_id,treatment,note
1,5.71428994364382,2.3706940276582515,0.25165389409760863,anc2,N,NA
10,4.969939412519552,2.346916346029001,0.22118933894904363,anc2,L,NA
11,3.9417571091609704,2.383441284800202,0.17262353691331586,anc4,N,NA
14,4.588779603949844,2.268187600423334,0.2116412621792457,anc2,S,NA
15,19.028355424074043,3.0171663250462375,0.6522890128238554,anc4,S,NA
16,4.471348627195937,2.2091657121457033,0.21199607984557695,anc5,B,NA
17,11.196637087958068,2.686625255700978,0.4328666111675991,anc2,P,NA
18,5.080017774684384,2.378001078078062,0.2230033086275082,anc5,S,NA
19,6.929574597141738,2.5888517811814253,0.2784245590491677,anc2,B,NA
2,7.712057470884683,2.71679407740594,0.29471396077637646,anc3,BS,NA
20,6.087625411883711,2.3856259434949587,0.26634390588755313,anc4,L,NA
21,3.2624957723510097,2.1596973698473123,0.15839685092149547,anc4,B,NA
22,9.933233855350855,2.492796246096679,0.4151307856469076,cc1690,C,NA
23,6.960805368619633,2.559667270953896,0.2829978449044504,anc5,L,NA
24,4.335920471946587,2.7559299053306745,0.1632543262246504,anc4,C,NA
25,4.358042029884785,2.427092442426837,0.187274125876149,anc2,BS,NA
26,9.839998058952478,2.609646786448886,0.39208697064800635,anc3,L,NA
27,12.637019648171924,3.116067576929197,0.41898993725592454,anc3,N,NA
28,10.886724558518086,2.8439700255345515,0.39675085577500974,anc5,P,NA
29,4.140495925562273,2.2795044015698163,0.18997419425168527,anc3,P,NA
3,3.186475520787425,2.3050524531689063,0.14450792389124822,cc1690,N,NA
30,3.1457525739532524,2.433542638298355,0.1348058750812957,anc5,N,NA
31,11.125029623037841,2.719884573874509,0.42463815902336477,cc1690,B,NA
32,6.014527256233953,2.2644545331638657,0.27787727411590807,cc1690,S,NA
33,5.4080701950475225,2.356268367260886,0.23969091059912034,cc1690,L,NA
35,6.311907973974835,2.2322849367257187,0.296016159250613,anc4,BS,NA
4,18.799784793561617,3.085995831600458,0.6295984942311578,anc3,S,NA
5,8.26479999801009,2.847050702008511,0.30086084657874235,anc5,C,NA
6,2.8754332007843977,2.12745681247901,0.1418246338509451,cc1690,P,NA
7,3.1646853972832343,2.1885352334883854,0.1515265505958166,anc3,B,NA
8,1.0208618426992202,2.0534489368210824,0.052259458819563794,anc4,P,NA
9,8.33750387404911,2.459857402192497,0.3533054101617708,cc1690,BS,NA
anc2,30.42144138100921,3.2003474708766193,0.9812268355974819,anc2,none,NA
anc3,5.990508617576722,2.377429292780572,0.26303818241763094,anc3,none,NA
anc4,7.74001398455359,2.4667024206617416,0.3270379037508841,anc4,none,NA
anc5,3.000857249517328,2.089871199038703,0.15080660753153408,anc5,none,NA
cc1690,7.048371426741536,2.2325798933420677,0.3305091381920373,cc1690,none,NA
