treatment,ancestor_id,population,change_salt_tol_lower,change_salt_tol_upper,change_salt_tol_mean
B,anc2,19,-0.30995492411021475,-0.04072292205736481,-0.17063663680607288
B,anc3,7,0.44035469589772214,0.8017167572879217,0.6329221484160676
B,anc4,21,0.9346255254309774,1.0448295851347458,0.9902051461961808
B,anc5,16,0.7065070764583296,2.573551817600616,1.3740750181994963
B,cc1690,31,0.17234662185096358,0.36607538258946304,0.2181555235940768
BS,anc2,25,2.6838933181020814,3.6153449641900335,3.1703773593185036
BS,anc3,2,5.935035408602784,7.058380652381457,6.196839878347616
BS,anc4,35,-0.00599170991447572,0.8517367020300566,0.41608795588135095
BS,cc1690,9,0.7057378695496695,1.7620547240716062,1.1695240229665071
C,anc4,24,0.7331357783781938,0.89547313282817,0.8631453970577192
C,anc5,5,0.042991790624622016,0.2565785561856066,0.15391998413180413
C,cc1690,22,-0.09632723136315913,0.14370771971422286,0.020461739218527356
L,anc2,10,0.1543818276521164,0.46024487296910227,0.31056223131600647
L,anc3,26,0.2689082245640764,0.4397247030636341,0.3488353204365398
L,anc4,20,1.0592140348810242,1.333275717441907,1.1928829530436622
L,anc5,23,0.4882249958986351,1.3388397288695455,0.8965311628699256
L,cc1690,33,0.22545385370988788,0.5769289455761922,0.4433730933482687
N,anc2,1,-2.3728075701780678,-0.9272599396265522,-1.7002187155037036
N,anc3,27,-0.07071117409619769,0.1880941809412935,0.04218294844817604
N,anc4,11,0.6269191594183909,1.3208553840508337,0.9557927880433945
N,anc5,30,0.047691261681631,0.21619760316239964,0.1356693790286548
N,cc1690,3,0.10672913174766128,0.19120397995948282,0.15934781085562097
Ancestors,anc2,anc2,-0.08117625194610882,0.09092061042754583,8.224003473520841e-17
Ancestors,anc3,anc3,-0.20021518109679787,0.1805144710208565,3.69076962366029e-17
Ancestors,anc4,anc4,-0.43087151190345985,0.32986799633315805,5.469932907903213e-17
Ancestors,anc5,anc5,-0.23397776026102002,0.24951499667818766,-1.724699828827217e-16
Ancestors,cc1690,cc1690,-0.33580292328665506,0.2728848037356751,-7.158016155288865e-17
P,anc2,17,-0.26489691144136823,0.5056038589997003,0.16734847141262169
P,anc3,29,0.28260165204531085,0.9154134297941285,0.7212407435903581
P,anc4,8,0.9554768842453789,1.2279549251854076,1.104437857757016
P,anc5,28,0.01818207648817918,0.7001713539204353,0.3644203782421236
P,cc1690,6,0.700292302152637,0.9573285826435277,0.8383463998436281
S,anc2,14,5.313467988125497,6.391471754098991,5.829652903380631
S,anc3,4,3.3276530572343934,3.8471579412172137,3.6012701061853853
S,anc4,15,2.9184475995237182,9.695572117330789,4.149394798490956
S,anc5,18,5.123228532843998,7.900428852097662,6.490601096003696
S,cc1690,32,4.134241417077701,4.57397164635198,4.321972475050884
