treatment,ancestor_id,population,term,salt_tolerance,std.error,statistic,p.value
A,anc2,anc2,b,1.8622961394525623,0.4351716096852873,4.279452285040746,5.6069598145472505e-5
A,anc3,anc3,b,1.4177486230282852,0.23738991328181086,5.972236155397404,7.819561465328775e-8
A,anc4,anc4,b,1.2078456942592415,0.17036912491657036,7.089580901766812,7.104545837574951e-10
A,anc5,anc5,b,1.6927026163539436,0.45661031289689846,3.7071055307858365,4.0547917426306067e-4
A,cc1690,cc1690,b,1.2607872748187017,0.2579294986784156,4.88810811201801,5.862752917171253e-6
C,anc4,24,b,1.909665262853023,0.4768902098598577,4.004412804813525,1.4791384977302268e-4
C,anc5,5,b,1.4380735140163567,0.24006202024735077,5.9904249432485015,7.255236294349357e-8
C,cc1690,22,b,1.7358861431193002,0.37555658999846553,4.622169306432335,1.6001610317484408e-5
L,anc2,10,b,2.3518693879454196,0.8699205843686487,2.7035449329576515,0.008529432245218597
L,anc3,26,b,2.152698543918367,0.5456279323503721,3.9453598620681003,1.8133867103215223e-4
L,anc4,20,b,1.5167204417716504,0.34414495727936084,4.407213907075929,3.5330276695088305e-5
L,anc5,23,b,4.450102193749294,1.5979178506878415,2.784938031597618,0.006815270390814021
L,cc1690,33,b,1.6337671124047324,0.38150069151724997,4.282474838792946,5.546472232402832e-5
N,anc2,1,b,1.3280199404704007,0.39398808486213127,3.3707109212074684,0.0012011764651160702
N,anc3,27,b,1.991990510487069,0.4899213000068621,4.065939795757335,1.1941594924763345e-4
N,anc4,11,b,5.168011247622782,2.4299633489073225,2.126785677630353,0.03681798802297583
N,anc5,30,b,1.4950924348237713,0.3297745873472464,4.533679950448902,2.2219205754169784e-5
N,cc1690,3,b,2.0338238875506804,0.5362378942821253,3.7927641989445933,3.0460509708430197e-4
P,anc2,17,b,3.4543257991687937,1.36616867379164,2.528476801903033,0.013617652857219512
P,anc3,29,b,8.679904686831767,3.999832309556025,2.1700671465887584,0.03325616385485897
P,anc4,8,b,2.3666519137883055,0.6492218199207299,3.6453671783201527,4.971573003583389e-4
P,anc5,28,b,3.8473378888016496,1.6772443169854678,2.2938446413796876,0.024679104168417298
P,cc1690,6,b,2.305965080468176,0.7701749970390089,2.994079383690224,0.003755905659763415
B,anc2,19,b,2.093973776087517,0.5666444093752981,3.695392986222234,4.215303307860193e-4
B,anc3,7,b,2.44427660353631,0.8233904938747513,2.9685509144439033,0.004045175909869022
B,anc4,21,b,1.5645363300717818,0.32367795476977157,4.833620291454877,7.216727309344529e-6
B,anc5,16,b,42.02674193181278,42.176731564698,0.9964437824525321,0.3223261176804154
B,cc1690,31,b,1.8674462270667118,0.4369251909169532,4.274063995137463,5.716375797731877e-5
S,anc2,14,b,19.236208874449904,3.6878290856458356,5.216133510450129,1.6438415662494697e-6
S,anc3,4,b,7.734141132407866,1.550050342171447,4.989606415991109,3.970428993450679e-6
S,anc4,15,b,70.33351916697744,42.303426955115256,1.662596253528175,0.10068155279779145
S,anc5,18,b,39.8441052737934,20.965267438789358,1.9004816127494248,0.06131862986272298
S,cc1690,32,b,9.9738384149373,4.6804974639783525,2.130935545141752,0.03646266159443847
BS,anc2,25,b,6.954811189416721,3.4684203167844045,2.0051811932253276,0.04865165244819644
BS,anc3,2,b,111.19833874754207,100.93285143193614,1.1017061062871927,0.2742086753590607
BS,anc4,35,b,2.2131742238381444,0.27303968064264067,8.10568712441027,8.913986202044364e-12
BS,cc1690,9,b,21.65590023027285,9.314418605445368,2.324986791726586,0.022856140250252437
